d,n,n_min,sigma_x,corr,center_fraction,n_centers,count,failed_rate,pass_h0_core_rate,pass_mass_at_h0_rate,pass_mass_below_099_rate,pass_mass_above_101_rate,pass_grid_monotone_rate,h0_mean,h0_std,h0_mean_ci95_low,h0_mean_ci95_high,h0_median,h0_median_ci95_low,h0_median_ci95_high,h0_q25,h0_q75,h0_over_sigma_x_median,mass_h0_median,mass_099_h0_median,mass_101_h0_median,center_mass_q05_h0_median,center_mass_min_h0_median
100,1000,10.0,0.7,0.0,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,9.063943321953,0.011111608854582528,9.057056275432922,9.070830368473077,9.064665451270415,9.053973060695405,9.070477476868216,9.055293744816534,9.070378401975718,12.94952207324345,10.00000000000001,7.89640354319104,12.579416701199303,1.4880999183398143,1.0
100,1000,10.0,0.7,0.3,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,8.968177067281946,0.031228703236699025,8.948821316484064,8.987532818079828,8.96937687022487,8.94947051137717,8.983410586915129,8.949884560554668,8.981959801491193,12.813395528892672,10.000000000000018,7.990139999381829,12.436094157078099,1.4822154922829966,1.0
100,1000,10.0,0.7,0.3,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,8.960920720875189,0.02714737239044511,8.944094605143643,8.977746836606734,8.957140029095253,8.948704688970901,8.977259157817269,8.948859242335613,8.965294464561936,12.795914327278936,10.000000000000021,7.992315264131461,12.436041535693406,1.456863724276476,0.9999999999999997
100,1000,10.0,0.7,0.7,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,8.294917517211982,0.026123669295008863,8.278725899232589,8.311109135191375,8.305718559401583,8.275513790546713,8.316159318607102,8.283765557116908,8.314577892278312,11.865312227716547,10.000000000000016,8.505304248469457,11.714174325457972,1.3921648252233982,1.0
100,1000,10.0,0.7,0.7,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,8.309543197898027,0.019359751721232266,8.297543899464632,8.321542496331421,8.307531976638606,8.293887100897981,8.326418637706174,8.29808389706028,8.323771269073795,11.867902823769438,10.000000000000025,8.500771520891472,11.721205038752892,1.405698493558694,0.9999999999999992
100,1000,10.0,1.0,0.0,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,12.945200272378827,0.024963896121341263,12.929727489259832,12.960673055497821,12.93637147637552,12.927493609438839,12.95786182213425,12.93207421704707,12.95726575912245,12.93637147637552,10.000000000000016,7.887574612112546,12.594543284685724,1.5177696578274105,1.0353541165938156
100,1000,10.0,1.0,0.0,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,12.948490459932856,0.015873726935118064,12.938651822047031,12.95832909781868,12.94952207324345,12.934247229564868,12.957824966954597,12.93613392116648,12.957683431393885,12.94952207324345,10.000000000000021,7.896403543191065,12.579416701199307,1.4880999183398118,1.0
100,1000,10.0,1.0,0.3,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,12.811681524688495,0.044612433195284414,12.784030452120092,12.839332597256899,12.81339552889267,12.784957873395959,12.833443695593042,12.785549372220958,12.831371144987422,12.81339552889267,10.000000000000012,7.990139999381805,12.436094157078113,1.4822154922829964,1.0
100,1000,10.0,1.0,0.3,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,12.801315315535984,0.038781960557778855,12.777278007348063,12.825352623723905,12.795914327278934,12.783863841387001,12.824655939738953,12.78408463190802,12.807563520802766,12.795914327278934,10.00000000000001,7.992315264131451,12.436041535693375,1.4568637242764726,0.9999999999999997
100,1000,10.0,1.0,0.7,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,11.849882167445688,0.0373195275642981,11.826751284617984,11.873013050273393,11.865312227716547,11.822162557923875,11.880227598010146,11.833950795881298,11.877968417540444,11.865312227716547,10.000000000000009,8.505304248469445,11.714174325457972,1.3921648252233978,1.0
100,1000,10.0,1.0,0.7,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,11.870775996997184,0.027656788173189173,11.853634142092336,11.887917851902031,11.867902823769438,11.848410144139974,11.894883768151677,11.854405567228973,11.891101812962566,11.867902823769438,10.00000000000001,8.500771520891469,11.721205038752899,1.4056984935586931,0.9999999999999992
100,1000,10.0,1.3,0.0,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,16.828760354092477,0.03245306495774352,16.808645736037782,16.848874972147172,16.817282919288175,16.805741692270487,16.845220368774523,16.811696482161196,16.844445486859183,12.93637147637552,10.000000000000028,7.887574612112555,12.594543284685763,1.5177696578274147,1.0353541165938154
100,1000,10.0,1.3,0.0,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,16.83303759791271,0.02063584501565398,16.82024736866114,16.845827827164282,16.834378695216486,16.814521398434326,16.845172457040977,16.81697409751642,16.84498846081205,12.949522073243452,10.000000000000004,7.896403543191059,12.579416701199307,1.4880999183398118,1.0
100,1000,10.0,1.3,0.3,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,16.65518598209504,0.05799616315386958,16.619239587756116,16.691132376433966,16.657414187560473,16.620445235414746,16.683476804270956,16.621214183887247,16.68078248848365,12.81339552889267,10.000000000000018,7.990139999381799,12.436094157078116,1.482215492282998,1.0
100,1000,10.0,1.3,0.3,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,16.64170991019678,0.050416548725112094,16.61046140955248,16.67295841084108,16.63468862546262,16.619022993803103,16.672052721660645,16.619310021480427,16.649832577043597,12.795914327278938,10.000000000000025,7.992315264131499,12.43604153569343,1.456863724276475,0.9999999999999997
100,1000,10.0,1.3,0.7,0.25,250,10,0.0,1.0,1.0,1.0,1.0,1.0,15.404846817679394,0.04851538583358736,15.374776670003378,15.43491696535541,15.424905896031511,15.36881132530104,15.444295877413191,15.384136034645687,15.44135894280258,11.865312227716547,10.000000000000007,8.505304248469447,11.714174325457979,1.3921648252233987,1.0
100,1000,10.0,1.3,0.7,1.0,1000,10,0.0,1.0,1.0,1.0,1.0,1.0,15.432008796096337,0.035953824625145694,15.409724384720034,15.45429320747264,15.428273670900268,15.402933187381967,15.46334889859718,15.410727237397666,15.458432356851336,11.867902823769436,10.000000000000004,8.500771520891472,11.721205038752881,1.4056984935586931,0.9999999999999992
