seed_id,data_seed,center_seed,d,n,n_over_d,corr,sigma_x,center_fraction,n_centers,n_min,kernel,mass_rule,q_mass,h0,h0_over_sigma_x,h_low,h_high,mass_h0,mass_low,mass_high,expand_steps_used,search_steps_used,failed,error,mass_099_h0,mass_h0_recheck,mass_101_h0,center_mass_min_h0,center_mass_q05_h0,center_mass_mean_h0,center_mass_median_h0,center_mass_max_h0,pass_mass_at_h0,pass_mass_below_099,pass_mass_above_101,pass_grid_monotone,pass_h0_core
5,25263724,25263741,100,1000,10.0,0.3,1.0,0.25,250,20.0,epanechnikov,mean,0.05,13.245157956512337,13.245157956512337,13.245157956512335,13.245157956512337,20.00000000000005,19.999999999999982,20.00000000000005,10,60,False,,16.262484762672674,20.00000000000005,24.363884094243616,1.3054396288928078,2.8266725888834476,20.00000000000005,14.817377941635286,92.30289420165718,True,True,True,True,True
5,25263724,25263741,100,1000,10.0,0.3,1.0,0.25,250,40.0,epanechnikov,mean,0.05,13.74529975822634,13.74529975822634,13.745299758226338,13.74529975822634,40.00000000000004,39.99999999999994,40.00000000000004,10,60,False,,33.51874487503008,40.00000000000004,47.25098156376279,2.606668620578141,7.249431762079295,40.00000000000004,32.93308857531267,140.91731992192035,True,True,True,True,True
5,25263724,25263741,100,1000,10.0,0.3,1.3,0.25,250,5.0,epanechnikov,mean,0.05,16.162349093510578,12.432576225777368,16.162349093510574,16.162349093510578,5.000000000000002,4.999999999999977,5.000000000000002,10,60,False,,4.003938961382729,5.000000000000002,6.256201851432236,1.0,1.1260653039526274,5.000000000000002,3.0642999177376495,33.35278431352282,True,True,True,True,True
5,25263724,25263741,100,1000,10.0,0.3,1.3,0.25,250,10.0,epanechnikov,mean,0.05,16.66707904769919,12.820830036691683,16.667079047699186,16.66707904769919,10.000000000000014,9.999999999999945,10.000000000000014,10,60,False,,7.983559968231505,10.000000000000014,12.444522598627351,1.0164586661165744,1.515176361280947,10.000000000000014,6.530725993162967,57.2860868251268,True,True,True,True,True
5,25263724,25263741,100,1000,10.0,0.3,1.3,0.25,250,20.0,epanechnikov,mean,0.05,17.218705343466038,13.245157956512337,17.218705343466034,17.218705343466038,20.000000000000014,19.999999999999936,20.000000000000014,10,60,False,,16.26248476267259,20.000000000000014,24.36388409424365,1.305439628892806,2.8266725888834414,20.000000000000014,14.8173779416352,92.30289420165684,True,True,True,True,True
5,25263724,25263741,100,1000,10.0,0.3,1.3,0.25,250,40.0,epanechnikov,mean,0.05,17.868889685694242,13.74529975822634,17.86888968569424,17.868889685694242,40.00000000000003,39.9999999999999,40.00000000000003,10,60,False,,33.518744875030045,40.00000000000003,47.25098156376285,2.606668620578148,7.249431762079325,40.00000000000003,32.93308857531284,140.917319921919,True,True,True,True,True
5,25263724,25263741,100,1000,10.0,0.3,0.7,1.0,1000,5.0,epanechnikov,mean,0.05,8.719662334282333,12.45666047754619,8.719662334282331,8.719662334282333,5.000000000000008,4.999999999999988,5.000000000000008,10,60,False,,4.004664615514557,5.000000000000008,6.254664460674108,0.9999999999999997,1.1138561839307244,5.000000000000008,3.0746096095877604,37.228121115741544,True,True,True,True,True
5,25263724,25263741,100,1000,10.0,0.3,0.7,1.0,1000,10.0,epanechnikov,mean,0.05,8.992634288353589,12.8466204119337,8.992634288353587,8.992634288353589,10.000000000000005,9.999999999999947,10.000000000000005,10,60,False,,7.989542075848383,10.000000000000005,12.434694976859383,0.9999999999999997,1.5294242303550818,10.000000000000005,6.662319179136631,63.54324934328821,True,True,True,True,True
5,25263724,25263741,100,1000,10.0,0.3,0.7,1.0,1000,20.0,epanechnikov,mean,0.05,9.291021827490955,13.272888324987079,9.291021827490953,9.291021827490955,20.00000000000009,19.999999999999986,20.00000000000009,10,60,False,,16.271537659788716,20.00000000000009,24.344168799921682,1.1739470698618426,2.858397798994919,20.00000000000009,14.84056983688157,101.41826322025929,True,True,True,True,True
5,25263724,25263741,100,1000,10.0,0.3,0.7,1.0,1000,40.0,epanechnikov,mean,0.05,9.64292902396904,13.775612891384345,9.642929023969039,9.64292902396904,40.00000000000003,39.999999999999915,40.00000000000003,10,60,False,,33.53972073172621,40.00000000000003,47.22663679829846,1.6196878876319438,7.41062479895078,40.00000000000003,33.82720223786495,152.6718645206048,True,True,True,True,True
5,25263724,25263741,100,1000,10.0,0.3,1.0,1.0,1000,5.0,epanechnikov,mean,0.05,12.45666047754619,12.45666047754619,12.456660477546189,12.45666047754619,5.000000000000011,4.999999999999991,5.000000000000011,10,60,False,,4.004664615514555,5.000000000000011,6.254664460674099,0.9999999999999997,1.1138561839307257,5.000000000000011,3.074609609587764,37.228121115741374,True,True,True,True,True
5,25263724,25263741,100,1000,10.0,0.3,1.0,1.0,1000,10.0,epanechnikov,mean,0.05,12.8466204119337,12.8466204119337,12.846620411933698,12.8466204119337,10.000000000000004,9.999999999999966,10.000000000000004,10,60,False,,7.989542075848393,10.000000000000004,12.434694976859372,0.9999999999999997,1.5294242303550802,10.000000000000004,6.662319179136595,63.54324934328753,True,True,True,True,True
5,25263724,25263741,100,1000,10.0,0.3,1.0,1.0,1000,20.0,epanechnikov,mean,0.05,13.272888324987077,13.272888324987077,13.272888324987075,13.272888324987077,20.00000000000004,19.999999999999975,20.00000000000004,10,60,False,,16.271537659788645,20.00000000000004,24.344168799921675,1.1739470698618422,2.8583977989949054,20.00000000000004,14.840569836881542,101.41826322025793,True,True,True,True,True
5,25263724,25263741,100,1000,10.0,0.3,1.0,1.0,1000,40.0,epanechnikov,mean,0.05,13.775612891384345,13.775612891384345,13.775612891384343,13.775612891384345,40.00000000000005,39.99999999999994,40.00000000000005,10,60,False,,33.53972073172627,40.00000000000005,47.22663679829841,1.6196878876319438,7.410624798950807,40.00000000000005,33.82720223786498,152.67186452060378,True,True,True,True,True
5,25263724,25263741,100,1000,10.0,0.3,1.3,1.0,1000,5.0,epanechnikov,mean,0.05,16.193658620810048,12.45666047754619,16.193658620810044,16.193658620810048,5.000000000000011,4.999999999999986,5.000000000000011,10,60,False,,4.004664615514557,5.000000000000011,6.254664460674099,0.9999999999999997,1.1138561839307253,5.000000000000011,3.0746096095877675,37.2281211157412,True,True,True,True,True
