experiment,factor,factor_label,level,build,iteration,n,quality_median,quality_q05,quality_q95,test_error_median,h_median,anisotropy_median
diagnostic-single-base,solver_max_steps,k_max,80,ADP,1,12,0.9987618551905986,0.991988845938796,0.9994974302715641,7.50979205979243,1.6657358407573184,0.6564312130212784
diagnostic-single-base,solver_max_steps,k_max,80,ADP,2,12,0.9995290481181426,0.998575488128619,0.9998683629510587,3.1467890129016514,1.1778531086649748,0.42389068752527237
diagnostic-single-base,solver_max_steps,k_max,80,ADP,3,12,0.9997603373290853,0.9995331193658475,0.9999243137337297,1.774341968659104,0.8328679203786591,0.2699413523077965
diagnostic-single-base,solver_max_steps,k_max,80,ADP,4,12,0.9997539268521876,0.9993991643247505,0.9999490575476816,1.1817766875888582,0.5889265543324873,0.1690615564584732
diagnostic-single-base,lambda_penalty,λ,0.0,ADP,0,11,0.9969533561973021,0.9865242350251194,0.9988862425215497,13.369131575446357,2.345775280496832,1.0
diagnostic-single-base,lambda_penalty,λ,0.0,ADP,1,11,0.9987638919585833,0.9918775866663653,0.9995076833662768,7.277698541283483,1.6587136079790856,0.6571917682886124
diagnostic-single-base,lambda_penalty,λ,0.0,ADP,2,11,0.9995662356751882,0.9986976523789023,0.9998685170818296,3.1219280453341645,1.172887640248416,0.42428654432296753
diagnostic-single-base,lambda_penalty,λ,0.0,ADP,3,11,0.9998030828198471,0.9996375573264198,0.9999253125117179,1.6733609866569294,0.8293568039895428,0.27050480246543884
diagnostic-single-base,lambda_penalty,λ,0.0,ADP,4,11,0.9998029511214482,0.9993934279131371,0.9999519505622367,1.1491810679449865,0.586443820124208,0.16961312294006348
diagnostic-single-base,lambda_penalty,λ,0.2,ADP,0,12,0.9961691839578877,0.9869673278195269,0.9988816862895679,13.494962122224841,2.35570621732995,1.0
diagnostic-single-base,lambda_penalty,λ,0.2,ADP,1,12,0.9987618551935931,0.9919888458666599,0.9994974302769996,7.509792061144239,1.6657358407573184,0.6564312130212784
diagnostic-single-base,lambda_penalty,λ,0.2,ADP,2,12,0.9995290481191446,0.9985754881337665,0.9998683629499738,3.14678901227421,1.1778531086649748,0.42389068752527237
diagnostic-single-base,lambda_penalty,λ,0.2,ADP,3,12,0.9997603373302846,0.9995331193660663,0.999924313733541,1.7743419688819557,0.8328679203786591,0.2699413523077965
diagnostic-single-base,lambda_penalty,λ,0.2,ADP,4,12,0.9997539268517945,0.9993991643332041,0.9999490575477024,1.1817766877108344,0.5889265543324873,0.1690615564584732
