d,n,n_min,sigma_x,corr,center_fraction,n_centers,count,failed_rate,pass_h0_core_rate,pass_mass_at_h0_rate,pass_mass_below_099_rate,pass_mass_above_101_rate,pass_grid_monotone_rate,h0_mean,h0_std,h0_mean_ci95_low,h0_mean_ci95_high,h0_median,h0_median_ci95_low,h0_median_ci95_high,h0_q25,h0_q75,h0_over_sigma_x_median,mass_h0_median,mass_099_h0_median,mass_101_h0_median,center_mass_q05_h0_median,center_mass_min_h0_median
100,1000,5.0,1.0,0.7,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,11.382910174055377,0.0598283764334318,11.377665985641183,11.388154362469571,11.386167749007484,11.378022102762964,11.391874437266546,11.342985399580552,11.420346567415042,11.386167749007484,5.000000000000005,4.254018887077857,5.8786129311774165,1.0802694465482263,0.9999999999999991
100,1000,5.0,1.0,0.7,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,11.383714577780694,0.045728209546195775,11.379706323487335,11.387722832074052,11.382574921237758,11.376893437332326,11.38713948650678,11.3536546573768,11.412508234797386,11.382574921237758,5.000000000000005,4.255083948839543,5.8776273403270825,1.0743794731434417,0.9999999999999987
100,1000,5.0,1.3,0.0,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,16.376446580384236,0.057838513824799924,16.371376811117948,16.381516349650525,16.376535683980464,16.36723439024957,16.3844655591099,16.334800282823004,16.413996960167736,12.597335141523434,5.0000000000000115,3.955999770471146,6.3345383817640055,1.1122466741632457,0.9999999999999997
100,1000,5.0,1.3,0.0,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,16.371478359106824,0.04407637307139424,16.367614894664364,16.375341823549284,16.369679315611812,16.363519720601545,16.375273173196092,16.34030335413536,16.40015773092142,12.592061012009083,5.0000000000000115,3.9579632336277686,6.330862594876924,1.1020887794853818,0.9999999999999993
100,1000,5.0,1.3,0.3,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,16.170741031820743,0.06631953957653008,16.164927867870542,16.176554195770944,16.169781821900386,16.158993996322195,16.178705358668996,16.124719084190083,16.217354275967498,12.438293709154141,5.0000000000000115,4.008811106346288,6.2480910264649685,1.104640725132754,0.9999999999999997
100,1000,5.0,1.3,0.3,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,16.16731398747431,0.04760063880745365,16.16314160751979,16.171486367428827,16.166579379510573,16.158836698630342,16.173274080186825,16.134798903830074,16.200876311617357,12.43583029193121,5.000000000000011,4.009681983556794,6.246651958634564,1.0999111066833205,0.9999999999999992
100,1000,5.0,1.3,0.7,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,14.797783226271992,0.0777768893634614,14.790965781333542,14.804600671210443,14.802018073709728,14.791428733591852,14.809436768446508,14.74588101945472,14.846450537639557,11.386167749007484,5.0000000000000036,4.2540188870778595,5.878612931177403,1.0802694465482268,0.9999999999999991
100,1000,5.0,1.3,0.7,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,14.798828951114903,0.05944667241005453,14.793618220533537,14.804039681696269,14.797347397609084,14.789961468532026,14.803281332458813,14.75975105458984,14.836260705236604,11.382574921237758,5.000000000000004,4.255083948839543,5.877627340327079,1.0743794731434417,0.9999999999999987
100,1000,10.0,0.7,0.0,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,9.079002402785221,0.030274214271767724,9.076348750903,9.081656054667443,9.079157987563493,9.075439902204591,9.083378680461554,9.056146770063117,9.099354462671414,12.970225696519275,10.000000000000021,7.881478819694804,12.60472983094743,1.5115632695804038,1.0111399577852282
100,1000,10.0,0.7,0.0,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,9.076785161484175,0.023086003258534573,9.074761584077672,9.078808738890677,9.075406894537092,9.073353624881806,9.078741961407502,9.059793887055893,9.093091200089278,12.964866992195848,10.000000000000021,7.885231593029621,12.5977641714085,1.478249384049175,0.9999999999999997
